3,0.00,PNumber:,Gender:,Age:
1,19.29,0.00,202.62,0.00
0,19.34,579.41,31.98,637.60
1,19.34,0.00,203.16,0.00
1,19.41,0.00,203.68,0.00
0,19.44,579.13,31.98,636.96
1,19.49,0.00,204.33,0.00
0,19.54,578.84,31.98,636.31
1,19.56,0.00,204.85,0.00
0,19.64,578.54,31.98,635.67
1,19.64,0.00,205.51,0.00
1,19.71,0.00,206.03,0.00
0,19.74,578.23,31.98,635.04
1,19.79,0.00,206.68,0.00
0,19.84,577.92,31.99,634.41
1,19.86,0.00,207.21,0.00
0,19.94,577.59,31.99,633.78
1,19.94,0.00,207.86,0.00
1,20.01,0.00,208.39,0.00
0,20.04,577.26,31.99,633.16
1,20.09,0.00,209.04,0.00
0,20.14,576.92,31.99,632.54
1,20.16,0.00,209.56,0.00
0,20.24,576.57,31.99,631.94
1,20.24,0.00,210.25,0.00
1,20.31,0.00,210.81,0.00
0,20.34,576.21,31.99,631.33
1,20.39,0.00,211.50,0.00
0,20.44,575.85,31.98,630.73
1,20.46,0.00,212.06,0.00
0,20.54,575.47,31.98,630.13
1,20.54,0.00,212.76,0.00
1,20.61,0.00,213.32,0.00
0,20.64,575.09,31.98,629.54
1,20.69,0.00,214.16,0.00
0,20.74,574.69,31.99,628.95
1,20.74,0.00,214.83,0.00
1,20.79,0.00,215.48,0.00
0,20.84,574.28,32.00,628.38
1,20.84,0.00,216.21,0.00
1,20.89,0.00,216.94,0.00
0,20.94,573.86,32.01,627.82
1,20.94,0.00,217.68,0.00
1,20.99,0.00,218.40,0.00
0,21.04,573.43,32.02,627.27
1,21.04,0.00,219.12,0.00
1,21.09,0.00,219.83,0.00
0,21.14,572.99,32.02,626.74
1,21.14,0.00,220.53,0.00
1,21.19,0.00,221.23,0.00
0,21.24,572.57,32.01,626.26
1,21.24,0.00,221.91,0.00
1,21.29,0.00,222.62,0.00
0,21.34,572.17,32.01,625.82
1,21.34,0.00,223.33,0.00
1,21.39,0.00,224.03,0.00
0,21.44,571.76,32.00,625.40
1,21.44,0.00,224.74,0.00
1,21.49,0.00,225.45,0.00
0,21.54,571.34,32.00,624.98
1,21.54,0.00,226.16,0.00
1,21.59,0.00,226.86,0.00
0,21.64,570.91,31.99,624.58
1,21.64,0.00,227.57,0.00
1,21.69,0.00,228.27,0.00
0,21.74,570.47,31.99,624.18
1,21.74,0.00,228.98,0.00
1,21.79,0.00,229.69,0.00
0,21.84,570.02,31.99,623.80
1,21.84,0.00,230.39,0.00
1,21.89,0.00,231.10,0.00
0,21.94,569.56,31.98,623.42
1,21.94,0.00,231.81,0.00
1,21.99,0.00,232.51,0.00
0,22.04,569.09,31.98,623.06
1,22.04,0.00,233.22,0.00
1,22.09,0.00,233.93,0.00
0,22.14,568.60,31.97,622.71
1,22.14,0.00,234.64,0.00
1,22.19,0.00,235.34,0.00
0,22.24,568.11,31.97,622.37
1,22.24,0.00,236.04,0.00
1,22.29,0.00,236.75,0.00
0,22.34,567.61,31.97,622.04
1,22.34,0.00,237.46,0.00
1,22.39,0.00,238.16,0.00
0,22.44,567.11,31.96,621.72
1,22.44,0.00,238.87,0.00
1,22.51,0.00,239.81,0.00
0,22.54,566.59,31.96,621.42
1,22.56,0.00,240.52,0.00
1,22.61,0.00,241.24,0.00
0,22.64,566.07,31.96,621.13
1,22.66,0.00,241.93,0.00
1,22.71,0.00,242.64,0.00
0,22.76,565.46,31.96,620.81
1,22.76,0.00,243.35,0.00
1,22.81,0.00,244.06,0.00
0,22.86,564.92,31.96,620.55
1,22.86,0.00,244.76,0.00
1,22.91,0.00,245.47,0.00
0,22.96,564.38,31.96,620.30
1,22.96,0.00,246.17,0.00
1,23.01,0.00,246.89,0.00
0,23.06,563.83,31.96,620.06
1,23.06,0.00,247.58,0.00
1,23.11,0.00,248.29,0.00
0,23.16,563.28,31.96,619.84
1,23.16,0.00,249.00,0.00
1,23.21,0.00,249.71,0.00
0,23.26,562.72,31.96,619.63
1,23.26,0.00,250.41,0.00
1,23.31,0.00,251.12,0.00
0,23.36,562.15,31.96,619.44
1,23.36,0.00,251.82,0.00
1,23.41,0.00,252.54,0.00
0,23.46,561.59,31.96,619.26
1,23.46,0.00,253.23,0.00
1,23.51,0.00,253.94,0.00
0,23.56,561.01,31.96,619.09
1,23.56,0.00,254.65,0.00
1,23.61,0.00,255.36,0.00
0,23.66,560.43,31.96,618.94
1,23.66,0.00,256.06,0.00
1,23.71,0.00,256.77,0.00
0,23.76,559.85,31.96,618.80
1,23.76,0.00,257.48,0.00
1,23.81,0.00,258.19,0.00
0,23.86,559.27,31.96,618.68
1,23.86,0.00,258.89,0.00
1,23.91,0.00,259.59,0.00
0,23.96,558.69,31.96,618.57
1,23.96,0.00,260.30,0.00
1,24.01,0.00,261.01,0.00
0,24.06,558.10,31.96,618.47
1,24.06,0.00,261.71,0.00
1,24.11,0.00,262.42,0.00
0,24.16,557.51,31.96,618.39
1,24.16,0.00,263.12,0.00
1,24.21,0.00,263.84,0.00
0,24.26,556.91,31.96,618.33
1,24.26,0.00,264.54,0.00
1,24.31,0.00,265.25,0.00
0,24.36,556.32,31.96,618.27
1,24.36,0.00,265.95,0.00
1,24.41,0.00,266.66,0.00
0,24.46,555.72,31.95,618.24
1,24.46,0.00,267.36,0.00
1,24.51,0.00,268.07,0.00
0,24.56,555.13,31.96,618.22
1,24.56,0.00,268.78,0.00
1,24.61,0.00,269.49,0.00
0,24.66,554.53,31.96,618.21
1,24.66,0.00,270.19,0.00
