3,0.00,PNumber:,Gender:,Age:
0,16.47,580.84,32.07,624.68
1,16.47,0.00,183.22,0.00
1,16.48,0.00,182.40,0.00
1,16.52,0.00,180.63,0.00
1,16.53,0.00,179.60,0.00
1,16.57,0.00,177.45,0.00
1,16.58,0.00,176.42,0.00
1,16.62,0.00,174.26,0.00
1,16.63,0.00,173.15,0.00
1,16.67,0.00,171.04,0.00
1,16.68,0.00,169.95,0.00
1,16.72,0.00,167.81,0.00
1,16.73,0.00,166.75,0.00
1,16.77,0.00,164.57,0.00
1,16.78,0.00,163.53,0.00
1,16.82,0.00,161.38,0.00
1,16.83,0.00,160.27,0.00
1,16.87,0.00,158.14,0.00
1,16.88,0.00,157.10,0.00
1,16.92,0.00,154.94,0.00
0,16.93,580.93,32.05,624.17
1,16.93,0.00,153.86,0.00
1,16.97,0.00,151.68,0.00
1,16.98,0.00,150.65,0.00
1,17.02,0.00,148.57,0.00
1,17.03,0.00,147.55,0.00
1,17.07,0.00,145.65,0.00
1,17.08,0.00,144.67,0.00
0,17.12,581.21,32.04,623.72
1,17.12,0.00,142.82,0.00
1,17.13,0.00,141.93,0.00
1,17.17,0.00,140.19,0.00
1,17.18,0.00,139.37,0.00
1,17.22,0.00,137.66,0.00
0,17.23,581.57,32.03,623.28
1,17.23,0.00,136.81,0.00
1,17.27,0.00,135.23,0.00
1,17.28,0.00,134.45,0.00
1,17.32,0.00,132.90,0.00
0,17.33,581.96,32.03,622.89
1,17.33,0.00,132.14,0.00
1,17.37,0.00,130.57,0.00
1,17.38,0.00,129.82,0.00
1,17.41,0.00,128.40,0.00
0,17.43,582.38,32.03,622.54
1,17.43,0.00,127.62,0.00
1,17.46,0.00,126.07,0.00
1,17.48,0.00,125.30,0.00
1,17.51,0.00,123.76,0.00
0,17.53,582.83,32.03,622.21
1,17.53,0.00,123.00,0.00
1,17.56,0.00,121.45,0.00
1,17.58,0.00,120.70,0.00
1,17.61,0.00,119.16,0.00
0,17.63,583.31,32.04,621.92
1,17.63,0.00,118.54,0.00
1,17.66,0.00,117.81,0.00
0,17.73,583.82,32.05,621.65
0,17.81,584.35,32.04,621.38
0,17.88,584.86,32.03,621.11
0,17.96,585.60,32.03,620.72
0,18.03,586.19,32.04,620.41
0,18.11,586.92,32.05,620.03
0,18.17,587.37,32.06,619.79
0,18.23,587.96,32.06,619.49
0,18.31,588.70,32.06,619.10
0,18.37,589.14,32.07,618.87
0,18.43,589.74,32.07,618.56
0,18.51,590.47,32.06,618.17
0,18.57,590.92,32.06,617.94
0,18.63,591.51,32.05,617.63
0,18.68,591.96,32.05,617.39
0,18.77,592.69,32.06,617.01
0,18.84,593.31,32.07,616.69
0,18.90,593.90,32.07,616.38
0,18.98,594.63,32.06,615.99
