3,0.00,PNumber:12312123,Gender:asd,Age:asdas
1,12.20,38.29,343.35,0.00
1,12.23,38.76,339.51,0.00
1,12.25,38.28,337.56,0.00
1,12.28,35.33,334.67,0.00
1,12.30,33.48,333.87,0.00
1,12.33,29.44,333.67,0.00
1,12.35,27.42,334.16,0.00
1,12.38,24.83,336.99,0.00
1,12.40,24.59,339.04,0.00
1,12.44,25.22,343.19,0.00
1,12.45,26.50,344.84,0.00
1,12.48,30.24,346.59,0.00
1,12.50,32.32,346.59,0.00
1,12.53,35.95,345.11,0.00
1,12.55,36.64,343.32,0.00
1,12.58,35.91,339.38,0.00
1,12.60,33.85,338.70,0.00
1,12.64,29.69,338.57,0.00
1,13.20,31.85,338.00,0.00
1,13.24,35.75,336.41,0.00
1,13.25,37.53,335.59,0.00
1,13.29,41.05,333.84,0.00
1,13.30,42.84,333.26,0.00
1,13.34,44.53,334.32,0.00
1,13.35,44.53,336.28,0.00
1,13.39,44.53,340.45,0.00
1,13.40,44.53,342.53,0.00
1,13.44,44.53,346.57,0.00
1,13.45,44.84,348.53,0.00
1,13.49,46.99,352.06,0.00
1,13.50,48.94,352.30,0.00
1,13.54,52.55,350.92,0.00
1,13.55,53.83,349.54,0.00
1,13.59,55.57,345.93,0.00
1,13.60,56.02,343.97,0.00
1,13.64,55.41,343.29,0.00
1,13.65,54.12,344.07,0.00
1,13.69,51.81,347.14,0.00
1,13.70,50.77,348.83,0.00
1,13.74,49.05,352.20,0.00
1,13.75,48.29,353.97,0.00
1,13.79,46.92,357.51,0.00
1,13.80,46.28,359.34,0.00
1,13.84,45.57,2.53,0.00
1,23.01,45.57,6.69,0.00
1,23.03,45.57,8.64,0.00
1,23.06,45.57,12.79,0.00
1,23.08,45.57,14.86,0.00
1,23.11,45.57,18.88,0.00
1,23.13,45.57,20.84,0.00
1,23.16,45.57,24.99,0.00
1,23.18,45.57,27.05,0.00
1,23.21,45.57,31.09,0.00
1,23.23,45.57,33.03,0.00
