3,0.00,PNumber:999,Gender:,Age:
1,38.11,358.83,285.78,0.00
1,38.14,358.83,289.85,0.00
1,38.16,358.83,291.87,0.00
1,38.19,358.83,296.02,0.00
1,38.21,358.83,298.02,0.00
1,38.24,358.83,302.06,0.00
1,38.26,358.83,304.15,0.00
1,38.29,358.83,308.15,0.00
1,38.31,358.83,310.21,0.00
1,38.34,358.83,314.27,0.00
1,38.36,358.83,316.33,0.00
1,38.39,358.83,320.46,0.00
1,38.41,358.83,322.44,0.00
1,38.44,358.83,325.81,0.00
1,38.46,358.83,326.57,0.00
1,39.09,358.83,325.87,0.00
1,39.11,358.83,324.85,0.00
1,39.14,358.83,322.09,0.00
1,39.16,358.83,320.60,0.00
1,39.18,358.83,319.01,0.00
1,39.21,358.83,315.99,0.00
1,39.23,358.83,315.11,0.00
1,39.64,358.86,315.71,0.00
1,39.66,358.92,316.37,0.00
1,39.69,359.14,318.03,0.00
1,39.71,359.34,319.10,0.00
1,39.74,359.89,321.44,0.00
1,39.76,0.17,322.65,0.00
1,39.79,0.69,324.90,0.00
1,39.81,1.02,326.31,0.00
1,39.84,1.58,328.74,0.00
1,39.86,1.82,329.93,0.00
1,39.89,2.01,332.21,0.00
1,39.91,2.08,333.27,0.00
1,39.94,2.19,335.35,0.00
1,39.96,2.19,336.18,0.00
1,39.99,2.19,336.68,0.00
1,40.14,0.86,336.44,0.00
1,40.16,0.23,336.31,0.00
1,40.19,358.86,336.03,0.00
1,40.21,358.25,335.91,0.00
1,40.81,359.25,336.28,0.00
1,40.84,0.35,336.74,0.00
1,40.86,0.93,336.98,0.00
1,41.23,0.31,337.55,0.00
1,41.26,359.14,338.02,0.00
1,41.28,358.52,338.30,0.00
1,41.31,357.54,338.90,0.00
1,41.56,357.35,337.82,0.00
1,41.58,357.35,336.60,0.00
1,41.61,357.35,332.70,0.00
1,41.63,357.35,330.75,0.00
1,41.66,357.35,326.62,0.00
1,41.69,357.35,322.62,0.00
1,41.71,357.35,320.56,0.00
1,41.73,357.35,317.66,0.00
1,41.76,357.35,315.60,0.00
1,43.36,357.35,315.03,0.00
1,43.38,357.35,314.25,0.00
1,43.41,357.35,311.36,0.00
1,43.43,357.35,309.63,0.00
1,43.46,357.35,305.97,0.00
1,43.48,357.35,304.22,0.00
1,43.51,357.35,301.79,0.00
1,43.96,357.35,300.64,0.00
1,43.98,357.35,299.90,0.00
1,44.01,357.35,298.40,0.00
1,44.03,357.35,297.66,0.00
1,44.06,357.35,296.13,0.00
1,44.08,357.35,295.40,0.00
1,44.11,357.35,294.26,0.00
1,45.01,357.35,292.74,0.00
1,45.03,357.35,291.94,0.00
1,45.06,357.28,290.20,0.00
1,45.08,357.21,289.35,0.00
1,45.11,357.07,287.60,0.00
1,45.13,357.00,286.70,0.00
1,45.16,356.93,284.99,0.00
1,45.18,356.93,284.27,0.00
1,46.38,356.93,285.03,0.00
1,46.41,356.93,286.22,0.00
1,46.43,356.93,286.88,0.00
1,46.46,356.93,288.73,0.00
1,46.48,356.93,289.80,0.00
1,46.51,356.93,292.35,0.00
1,46.53,356.93,293.80,0.00
1,46.56,356.93,296.65,0.00
1,46.58,356.93,298.13,0.00
1,46.61,356.93,301.07,0.00
1,46.63,356.93,302.46,0.00
1,46.66,356.93,303.44,0.00
1,46.88,356.93,304.14,0.00
1,46.91,357.01,305.25,0.00
1,46.93,357.07,305.90,0.00
1,46.96,357.17,307.16,0.00
1,46.98,357.22,307.82,0.00
1,47.01,357.33,309.08,0.00
1,47.03,357.33,309.70,0.00
1,47.41,357.33,310.50,0.00
1,47.46,357.42,311.49,0.00
1,47.51,357.60,312.76,0.00
1,47.56,357.72,313.86,0.00
1,47.66,357.72,314.44,0.00
1,47.71,358.34,315.74,0.00
1,47.73,358.71,316.41,0.00
1,47.76,359.50,317.70,0.00
1,47.78,359.84,318.36,0.00
1,47.81,359.99,319.36,0.00
1,48.03,359.99,320.21,0.00
1,48.06,359.99,321.92,0.00
1,48.08,359.99,322.75,0.00
1,48.11,359.99,324.79,0.00
1,48.13,359.99,325.86,0.00
1,48.16,359.99,327.90,0.00
1,48.18,359.99,328.93,0.00
1,48.21,359.99,331.22,0.00
1,48.23,359.99,332.25,0.00
1,48.26,359.99,334.32,0.00
1,48.28,359.99,335.32,0.00
1,48.31,359.99,337.41,0.00
1,48.33,359.99,338.39,0.00
1,48.36,359.99,339.00,0.00
1,48.68,359.99,338.27,0.00
1,48.71,359.99,337.74,0.00
1,48.76,359.99,336.92,0.00
1,48.81,359.99,336.09,0.00
1,48.86,359.99,335.26,0.00
1,48.91,359.99,334.44,0.00
1,48.96,359.81,333.67,0.00
1,49.01,359.06,333.18,0.00
1,49.06,358.25,332.79,0.00
1,49.11,357.55,332.70,0.00
1,49.41,358.65,332.87,0.00
1,49.77,358.88,333.32,0.00
1,49.82,358.88,333.86,0.00
1,49.87,358.88,335.39,0.00
1,49.88,358.90,336.01,0.00
1,49.91,358.94,337.29,0.00
1,49.93,358.96,337.95,0.00
1,49.97,358.96,338.53,0.00
3,50.27,[EndPoint]PointAngle:(359.0, 338.5, 0.0),PointDir:(-0.4, 0.0, 0.9)
4,50.27,560.65,30.84,1059.12,0.00,0.00,0.00
3,50.27,[StartPoint]PlayerPos:(560.6, 30.8, 1059.1),TargetName:Column,TargetPos:(611.5, 40.6, 189.1)
0,50.27,560.65,30.84,1059.12
1,50.27,358.96,0.00,0.00
1,50.88,358.96,359.88,0.00
1,50.92,358.96,359.22,0.00
1,50.97,358.96,358.20,0.00
1,51.02,358.96,357.18,0.00
1,51.07,358.96,356.16,0.00
1,51.12,358.96,355.14,0.00
1,51.17,358.96,354.38,0.00
1,51.93,358.96,353.81,0.00
1,51.97,358.96,352.28,0.00
1,51.98,358.96,351.17,0.00
1,52.02,358.96,348.40,0.00
1,52.03,358.96,346.80,0.00
1,52.07,358.96,342.87,0.00
1,52.08,358.96,340.86,0.00
1,52.12,358.96,336.69,0.00
1,52.13,358.96,334.67,0.00
1,52.17,358.96,330.57,0.00
1,52.18,358.96,328.59,0.00
1,52.22,358.96,324.44,0.00
1,52.23,358.96,322.48,0.00
1,52.27,358.96,318.31,0.00
1,52.28,358.96,316.31,0.00
1,52.32,358.96,312.24,0.00
1,52.33,358.96,310.11,0.00
1,52.35,358.96,308.01,0.00
1,52.38,358.96,304.11,0.00
1,52.40,358.96,301.93,0.00
1,52.43,358.96,297.84,0.00
1,52.47,358.96,292.87,0.00
1,52.49,358.96,290.82,0.00
1,52.51,358.96,288.90,0.00
1,52.53,358.96,285.48,0.00
1,52.55,358.96,283.46,0.00
1,52.59,358.71,280.11,0.00
1,52.84,358.41,281.06,0.00
1,52.85,358.41,281.65,0.00
1,52.89,358.41,282.92,0.00
1,53.09,358.41,283.67,0.00
1,53.10,358.41,284.76,0.00
1,53.14,358.41,288.01,0.00
1,53.15,358.41,290.09,0.00
1,53.19,358.41,294.12,0.00
1,53.20,358.41,296.16,0.00
1,53.23,358.41,299.75,0.00
1,53.27,358.41,303.80,0.00
1,53.28,358.41,305.86,0.00
1,53.32,358.41,309.90,0.00
1,53.33,358.41,312.20,0.00
1,53.35,358.41,314.24,0.00
1,53.38,358.41,318.21,0.00
1,53.40,358.41,320.36,0.00
1,53.43,358.41,324.51,0.00
1,53.47,358.41,328.52,0.00
1,53.48,358.41,330.50,0.00
1,53.50,358.41,332.58,0.00
1,53.53,358.41,336.69,0.00
1,53.55,358.41,338.71,0.00
1,53.58,358.41,342.74,0.00
1,53.60,358.41,344.85,0.00
1,53.63,358.41,347.48,0.00
1,53.83,358.41,349.15,0.00
1,53.85,358.41,350.16,0.00
1,53.88,358.41,352.44,0.00
1,53.90,358.41,353.50,0.00
1,53.93,358.41,354.43,0.00
1,53.98,358.41,353.46,0.00
1,54.00,358.41,351.78,0.00
1,54.03,358.41,347.66,0.00
1,54.05,358.41,345.71,0.00
1,54.08,358.41,341.53,0.00
1,54.10,358.41,339.59,0.00
1,54.13,358.41,335.43,0.00
1,54.15,358.41,333.45,0.00
1,54.18,358.41,329.28,0.00
1,54.20,358.41,327.24,0.00
1,54.23,358.41,323.24,0.00
1,54.25,358.41,321.06,0.00
1,54.28,358.41,317.08,0.00
1,54.30,358.41,315.06,0.00
1,54.33,358.41,310.88,0.00
1,54.35,358.41,308.81,0.00
1,54.38,358.41,304.83,0.00
1,54.40,358.41,302.70,0.00
1,54.43,358.41,298.70,0.00
1,54.45,358.41,296.65,0.00
1,54.48,358.41,293.62,0.00
1,54.50,358.41,290.15,0.00
1,54.54,358.41,286.12,0.00
1,54.55,358.41,284.02,0.00
1,54.59,358.41,279.97,0.00
1,54.60,358.41,277.93,0.00
1,54.64,358.41,273.80,0.00
1,54.65,358.41,271.70,0.00
1,54.69,358.41,267.67,0.00
1,54.70,358.41,265.58,0.00
1,54.74,358.41,261.51,0.00
1,54.75,358.41,259.48,0.00
1,54.79,358.41,255.47,0.00
1,54.80,358.06,254.69,0.00
3,55.02,[EndPoint]PointAngle:(358.1, 254.7, 0.0),PointDir:(-1.0, 0.0, -0.3)
4,55.02,611.49,40.56,189.14,0.00,0.00,0.00
3,55.02,[StartPoint]PlayerPos:(611.5, 40.6, 189.1),TargetName:Truck,TargetPos:(838.5, 30.7, 1261.1)
0,55.04,611.49,40.56,189.14
1,55.04,358.06,0.00,0.00
1,55.55,358.06,0.54,0.00
1,55.59,358.06,2.90,0.00
1,55.60,358.06,4.54,0.00
1,55.64,358.06,8.38,0.00
1,55.66,358.06,10.57,0.00
1,55.69,358.06,14.62,0.00
1,55.71,358.06,16.71,0.00
1,55.74,358.06,20.71,0.00
1,55.76,358.06,22.82,0.00
1,55.78,358.06,26.41,0.00
1,55.80,358.06,28.45,0.00
1,55.83,358.06,32.55,0.00
1,55.85,358.06,34.47,0.00
1,55.88,358.06,37.00,0.00
1,56.69,358.84,37.21,0.00
1,56.74,0.04,37.21,0.00
1,56.79,1.51,37.21,0.00
1,56.80,2.03,37.21,0.00
1,56.84,3.00,37.21,0.00
1,56.89,4.31,37.21,0.00
1,57.09,4.31,36.51,0.00
1,57.10,4.31,35.74,0.00
1,57.14,4.31,33.90,0.00
1,57.15,4.31,32.92,0.00
1,57.19,4.31,30.88,0.00
1,57.20,4.31,30.02,0.00
1,57.49,3.47,29.71,0.00
