3,0.00,PNumber:,Gender:,Age:
0,14.61,546.40,31.96,635.47
1,14.61,356.15,298.24,0.00
1,14.63,356.15,297.06,0.00
1,14.66,356.15,294.70,0.00
1,14.68,356.15,293.91,0.00
0,14.71,546.99,31.96,635.64
0,14.81,547.64,31.96,636.00
0,14.88,548.05,31.96,636.32
0,14.96,548.55,31.96,636.82
0,15.03,548.95,31.96,637.28
0,15.11,549.44,31.96,637.84
1,15.16,356.15,295.61,0.00
0,15.18,549.88,31.96,638.25
1,15.18,356.15,296.82,0.00
1,15.21,356.15,299.60,0.00
1,15.23,356.15,301.03,0.00
0,15.26,550.44,31.96,638.64
1,15.26,356.15,303.97,0.00
1,15.28,356.15,305.38,0.00
1,15.31,356.15,307.98,0.00
1,15.33,356.15,308.78,0.00
0,15.36,551.00,31.96,638.97
0,15.48,551.44,31.96,639.23
0,15.86,551.98,31.96,639.28
0,17.72,552.53,31.96,639.17
1,17.77,356.15,307.88,0.00
1,17.78,356.15,307.12,0.00
1,17.82,356.15,305.62,0.00
1,17.83,356.15,304.92,0.00
1,17.87,356.15,304.05,0.00
0,17.88,553.04,31.96,639.15
0,20.34,553.58,31.96,639.27
1,20.39,356.15,302.10,0.00
1,20.40,356.15,300.98,0.00
1,20.43,356.15,298.27,0.00
1,20.45,356.15,296.79,0.00
0,20.48,554.20,31.96,639.32
1,20.48,356.15,293.51,0.00
1,20.50,356.15,291.55,0.00
1,20.53,356.15,287.48,0.00
1,20.55,356.15,285.45,0.00
0,20.59,554.76,31.96,639.53
1,20.59,356.15,281.33,0.00
1,20.60,356.15,279.11,0.00
1,20.64,356.15,275.45,0.00
1,20.65,356.15,274.22,0.00
0,20.69,555.29,31.96,639.94
1,20.69,356.15,273.44,0.00
0,20.78,555.79,31.96,640.41
0,20.88,556.31,31.96,640.75
0,20.98,556.87,31.96,640.90
0,21.09,557.42,31.96,641.01
0,21.20,557.92,31.96,641.12
0,21.54,558.25,31.96,640.66
0,21.64,558.21,31.96,640.12
0,21.74,558.14,31.97,639.39
0,21.80,558.10,31.97,638.79
0,21.85,558.07,31.97,638.29
0,21.94,558.02,31.97,637.46
0,21.99,557.99,31.97,636.96
0,22.05,557.94,31.97,636.29
1,22.09,356.15,274.30,0.00
0,22.10,557.91,31.97,635.79
1,22.14,356.15,275.34,0.00
0,22.19,557.83,31.97,634.96
1,22.19,356.15,276.49,0.00
1,22.24,356.15,277.77,0.00
0,22.25,557.75,31.97,634.30
1,22.25,356.15,278.28,0.00
1,22.29,356.15,279.31,0.00
0,22.30,557.67,31.97,633.80
1,22.30,356.15,279.81,0.00
1,22.34,356.15,280.83,0.00
0,22.35,557.58,31.96,633.31
0,22.44,557.44,31.96,632.58
1,22.49,356.15,279.77,0.00
0,22.50,557.35,31.96,632.08
1,22.50,356.15,278.12,0.00
1,22.54,356.15,274.01,0.00
1,22.55,356.15,271.95,0.00
0,22.59,557.25,31.96,631.58
1,22.59,356.15,267.75,0.00
1,22.62,356.15,263.80,0.00
1,22.64,356.15,261.79,0.00
1,22.65,356.15,259.59,0.00
1,22.69,356.15,255.51,0.00
1,22.71,356.15,253.44,0.00
0,22.74,557.15,31.96,631.05
1,22.74,356.15,249.37,0.00
1,22.75,356.15,247.33,0.00
1,22.79,356.15,243.24,0.00
1,22.81,356.15,241.18,0.00
1,22.84,356.15,237.08,0.00
1,22.86,356.15,235.00,0.00
1,22.89,356.15,230.95,0.00
1,22.91,356.15,228.95,0.00
1,22.94,356.15,224.83,0.00
1,22.96,356.15,222.81,0.00
1,22.99,356.15,218.68,0.00
1,23.01,356.15,216.63,0.00
1,23.04,356.15,212.59,0.00
1,23.06,356.15,210.45,0.00
1,23.09,356.15,206.42,0.00
1,23.11,356.15,204.42,0.00
1,23.14,356.15,200.36,0.00
1,23.16,356.15,198.32,0.00
1,23.19,356.15,194.18,0.00
0,23.21,557.46,31.96,630.66
1,23.21,356.15,192.21,0.00
1,23.24,356.15,188.48,0.00
1,23.25,356.15,186.44,0.00
1,23.29,356.15,182.40,0.00
1,23.30,356.15,180.58,0.00
1,23.34,356.15,178.49,0.00
0,23.39,557.45,31.96,630.08
0,23.48,557.46,31.96,629.49
0,23.55,557.46,31.96,628.99
0,23.63,557.49,31.96,628.23
0,23.70,557.57,31.96,627.57
0,23.79,557.79,31.97,626.78
1,23.79,356.15,175.97,0.00
1,23.80,356.15,174.29,0.00
0,23.84,557.99,31.98,626.31
1,23.84,356.15,170.48,0.00
1,23.85,356.15,168.52,0.00
1,23.89,356.15,164.50,0.00
0,23.90,558.31,31.98,625.75
1,23.90,356.15,162.44,0.00
1,23.94,356.15,158.39,0.00
1,23.95,356.15,156.35,0.00
0,23.99,558.83,31.98,625.11
1,23.99,356.15,152.25,0.00
1,24.00,356.15,150.29,0.00
1,24.04,356.15,146.19,0.00
0,24.05,559.31,31.98,624.67
1,24.05,356.15,144.12,0.00
1,24.09,356.15,140.06,0.00
1,24.10,356.15,138.01,0.00
0,24.13,559.98,31.98,624.22
1,24.13,356.15,133.96,0.00
1,24.15,356.15,131.94,0.00
1,24.19,356.15,127.79,0.00
0,24.20,560.57,31.97,623.95
1,24.20,356.15,125.81,0.00
1,24.23,356.15,121.74,0.00
1,24.25,356.15,119.61,0.00
0,24.28,561.34,31.97,623.72
1,24.28,356.15,115.59,0.00
1,24.30,356.15,113.55,0.00
1,24.34,356.15,109.44,0.00
